feature,importance
Temp_Anomaly,0.5872142
topmn,0.15001358
Daylight_hours,0.06715735
Temp,0.06636114
DLI_value,0.0587452
Deep_Drought_Flag,0.018486626
Optimal_Temp_Flag,0.014189636
lifo,0.009549677
topmx,0.0038439005
SWVL2,0.003050599
Suitable_High,0.0027565914
Optimal_hours,0.0026870682
SWVL1_Anomaly,0.0017490393
phys,0.0017347513
GDD_Annual,0.0010575256
Active_GDD_Months,0.00093041727
SWVL2_CV,0.0006806957
Temp_Gradient,0.0005812979
lat,0.0005734293
SWVL1,0.00057124725
Temp_CV,0.00055233564
SoilTemp_L2,0.00044132926
SoilTemp_L2_STD,0.0004312545
Vertical_Moisture_Gradient,0.00034875268
temp_opt_range,0.00034174888
SWVL1_Gradient,0.00033498436
Temp_STD,0.0003304764
Optimal_Deep_Moisture_Flag,0.00032673907
Annual_Amplitude,0.0003048749
Mean_Annual_DLI,0.00029221404
SoilTemp_L2_CV,0.00028438205
SWVL2_Mean,0.0002783125
SoilTemp_L1,0.00027107605
DLI_gradient,0.0002710108
SoilTemp_L1_STD,0.00027067005
SoilTemp_L1_CV,0.00026549931
SWVL2_Gradient,0.0002531477
SWVL2_Anomaly,0.00023105048
lon,0.00022297827
Radiation_Stability,0.0002110747
Joint_Suitability_Flag,0.00020978523
cat,0.00020939579
Temp_Amplitude,0.00014360226
ktmp,0.00014044927
limn,0.00013314135
lispa,6.725836e-05
altmx,6.3901134e-05
rain_opt_range,6.293447e-05
plat,6.0971048e-05
temp_abs_range,6.0587172e-05
ktmpr,5.825719e-05
Deep_Drought_Persistence,5.2861826e-05
rmin,4.8113794e-05
rain_abs_range,4.804136e-05
rain_opt_center,3.5127156e-05
temp_opt_center,3.4930155e-05
ropmx,3.2725686e-05
ropmn,3.090471e-05
phmax,3.0798798e-05
tmin,3.068285e-05
latmx,2.9520217e-05
tmax,2.8897006e-05
growth_duration,2.7581307e-05
liopmn,2.6612803e-05
gmin,2.1773862e-05
rmax,2.026109e-05
cliz,1.7846362e-05
habi,1.4689788e-05
light_opt_range,1.3967804e-05
gmax,1.3293277e-05
dep,1.1978847e-05
latmn,9.190104e-06
lat_range,7.5369658e-06
liopmx,4.638694e-06
limx,0.0
photo_range,0.0
photo_center,0.0
Above_Annual_Mean,0.0
Is_Peak_Month,0.0
Suitable_Low,0.0
light_abs_range,0.0
Heat_Stress,0.0
Suitable_Mid,0.0
Cold_Stress,0.0
phopmn,0.0
phopmx,0.0
phmin,0.0
photo,0.0
depr,0.0
light_center,0.0
